Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,Rank,Genre,Cluster,Cluster_overall
influence the psychology of persuasion,robert b cialdini,4.4,1481.8928778228144,1002,influence classic book persuasion explains psychology people say yes apply understandings,10 hours and 6 minutes,",#11 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Consumer Behaviour,#1 in Marketing (Audible Audiobooks & Originals),#1 in Earth Sciences Books",11,"consumer behaviour,earth sciences books,marketing",3,5
dream with your eyes open an entrepreneurial journey,ronnie screwvala,4.042091434576984,43.0,0,utv founder pioneer media industry ronnie screwvala one india ’ successful first-generation entrepreneurs avid philanthropist penned dream eyes open entrepreneurial journey one inspiring entrepreneurial self-help books pictured relaxed content cover page book screwvala provides relentless pursuit entrepreneurial glory describes others learn,7 hours and 19 minutes,",#2 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Small Businesses,#1 in Business Management",1,"business management,entrepreneurship,small businesses",7,7
the sandman,neil gaiman,5.0,1.0,1171,please note content kids mature audiences like original graphic novels audio adaptation contains explicit language graphic violence well strong sexual content themes discretion advised,10 hours and 54 minutes,",#16 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Epic Fantasy,#1 in Dark Fantasy,#16 in Fantasy (Books)",16,"dark fantasy,epic fantasy,fantasy",2,0
how to win friends and influence people,dale carnegie,4.5,1481.8928778228144,668,win friends influence people self-help book pioneer genre written dale carnegie published 1936 sold 30 million copies edited re-printed several times,8 hours and 5 minutes,",#18 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Communication & Social Skills,#76 in Personal Development & Self-Help",18,"communication social skills,personal development selfhelp",4,4
the alchemist a fable about following your dream,paulo coelho,4.6,1481.8928778228144,1002,completing purchase agree audible ’ conditions use amazons privacy notice applicable audibles recurring payment terms,4 hours,",#10 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Metaphysical & Visionary Fiction,#1 in Literary Fiction,#6 in Crime, Thriller & Mystery (Books)",10,"crime,literary fiction,metaphysical visionary fiction",1,4
thinking fast and slow,daniel kahneman,4.4,1481.8928778228144,1093,brought penguin,20 hours and 1 minute,",#13 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Decision Making & Problem Solving,#3 in Psychology (Audible Audiobooks & Originals),#8 in Personal Success",13,"business decision making problem solving,personal success,psychology",8,5
just do it the nike spirit in the corporate world,donald katz,4.0,38.0,0,protagonist phil knight reclusive billionaire started two-man operation importing japanese running shoes built 4 billion company irreverent unpredictable leery sports establishment knight created muscular jock culture business place employees routinely took two hours lunch work strategized late night holy war competitors reebok adidas outsiders nike cult insiders believed furthering companys mission improve performance serious athletes,14 hours,",#3 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Popular Culture Studies,#1 in Biographies of Business Leaders,#1 in Biographies of Actors",1,"biographies of actors,biographies of business leaders,popular culture studies",7,7
sherlock holmes the definitive collection,arthur conan doyle,5.0,6.0,1002,updated include chapter name information easily find favourite story novel,71 hours and 57 minutes,",#15 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Private Investigator Mysteries,#14 in Crime, Thriller & Mystery (Books)",15,"crime,private investigator mysteries",4,0
becoming,michelle obama,4.6,1481.8928778228144,1093,penguin presents audiobook edition becoming michelle obama,19 hours and 3 minutes,",#12 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Women Biographies,#13 in Biographies & Autobiographies (Books)",12,"biographies autobiographies,women biographies",1,0
the warren buffett way 3rd edition,robert hagstrom,4.2,72.0,1005,warren buffett remains one sought-after watched figures business today become billionaire investment sage buying chunks companies holding onto managing businesses eventually reaping huge profits investors berkshire hathaway first two editions warren buffett way gave investors first in-depth look innovative investment business strategies behind spectacular success living legend warren e. buffett tracing warren buffetts career beginning hagstrom told listeners exactly starting initial investment 100 buffett built business empire estimated net worth 44 billion third edition warren buffett way focus timeless principles strategies behind buffetts extraordinary investment success new chapters important distinctions investment trading examination successful disciples warren buffett less important material deleted overall focus create edition stand test time distilling buffetts success formula way provide value listeners decades come,10 hours and 31 minutes,",#17 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Careers,#1 in Biographies of Business Leaders,#3 in Personal Finance",17,"biographies of business leaders,business careers,personal finance",7,1
21 lessons for the 21st century,yuval noah harari,4.4,2836.0,1093,brought penguin,11 hours and 41 minutes,",#14 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Political Science History & Theory,#1 in United States Politics & Government,#1 in Political Theory",14,"political science history theory,political theory,united states politics government",8,8
secrets of the millionaire mind mastering the inner game of wealth,t harv eker,4.6,952.0,1002,secrets millionaire mind reveals missing link wanting success achieving,5 hours and 10 minutes,",#21 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Entrepreneurship (Audible Audiobooks & Originals),#1 in Business Motivation & Self-Improvement,#4 in Investing & Trading",21,"business motivation selfimprovement,entrepreneurship,investing trading",7,0
lets talk money youve worked hard for it now make it work for you,monika halan,4.4,419.0,668,work hard earn money regardless much earn money worry never goes away bills rent emis medical costs vacations kids education somewhere back head niggling thought under-prepared retirement,5 hours and 56 minutes,",#19 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Personal Finance,#35 in Business & Economics,#85 in Personal Development & Self-Help",19,"business economics,personal development selfhelp,personal finance",7,9
elon musk,ashlee vance,4.5,1481.8928778228144,888,brought penguin,13 hours and 23 minutes,",#23 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Biographies of Science & Technology Leaders,#3 in Engineering & Technology (Books),#3 in Biographies of Business Leaders",23,"biographies of business leaders,biographies of science technology leaders,engineering technology",8,4
the monk who sold his ferrari,robin sharma,4.6,1481.8928778228144,351,author robin sharma reads international best-seller allowing gain wisdom lessons original book commute abridged audiobook one sharma leadership internationals all-time best-selling audio products,2 hours and 40 minutes,",#22 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Christianity (Books),#2 in Spirituality (Audible Audiobooks & Originals),#6 in Spirituality (Books)",22,"christianity,spirituality,spirituality",1,4
the power of your subconscious mind,joseph murphy,4.5,1481.8928778228144,99,`` power subconscious mind '' open world success happiness prosperity peace one brilliant beloved spiritual self-help works time help heal banish fears sleep better enjoy better relationships feel happier techniques simple results come quickly improve relationships finances physical well-being,7 hours and 13 minutes,",#30 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in New Thought Spirituality,#11 in Personal Success,#52 in Mind, Body & Spirit",30,"mind,new thought spirituality,personal success",9,6
cant hurt me master your mind and defy the odds,david goggins,4.8,1481.8928778228144,836,david goggins childhood nightmare poverty prejudice physical abuse colored days haunted nights self-discipline mental toughness hard work goggins transformed depressed overweight young man future us armed forces icon one worlds top endurance athletes man history complete elite training navy seal army ranger air force tactical air controller went set records numerous endurance events inspiring outside magazine name fittest real man america,13 hours and 37 minutes,",#35 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Biographies & Memoirs (Audible Audiobooks & Originals),#13 in Personal Success,#44 in Biographies & Autobiographies (Books)",35,"biographies autobiographies,biographies memoirs,personal success",9,4
the power of habit why we do what we do and how to change,charles duhigg,4.5,1481.8928778228144,888,brought penguin,10 hours and 53 minutes,",#24 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Organisational Behaviour,#1 in Science,#10 in Personal Success",24,"organisational behaviour,personal success,science",8,4
harry potter and the philosophers stone book 1,jk rowling,4.7,1481.8928778228144,999,`` turning envelope hand trembling harry saw purple wax seal bearing coat arms lion eagle badger snake surrounding large letter h '',9 hours and 33 minutes,",#29 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Family Life Fiction for Children,#1 in Fantasy & Magic for Children,#1 in Fiction on Friendship for Children",29,"family life fiction for children,fantasy magic for children,fiction on friendship for children",0,4
inglorious empire what the british did to india,shashi tharoor,4.5,304.0,752,penguin presents audiobook edition inglorious empire written read shashi tharoor,10 hours and 33 minutes,",#33 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Indian History (Audible Audiobooks & Originals),#1 in Imperialism,#1 in Colonialism & Post-Colonialism",33,"colonialism postcolonialism,imperialism,indian history",1,9
raavan enemy of aryavarta,amish tripathi,4.5,1481.8928778228144,836,without darkness light purpose,11 hours and 32 minutes,",#39 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction Sagas,#2 in Epic Fantasy,#40 in Fantasy (Books)",39,"epic fantasy,fantasy,fiction sagas",0,4
my gita,devdutt pattanaik,4.2,1244.0,501,gita acclaimed mythologist devdutt pattanaik demystifies bhagavad gita contemporary reader unique approach thematic rather verse verse makes ancient treatise eminently accessible,6 hours and 15 minutes,",#26 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Philosophy (Audible Audiobooks & Originals),#1 in Hinduism (Audible Audiobooks & Originals),#2 in Theology & Philosophy of Religion",26,"hinduism,philosophy,theology philosophy of religion",5,6
zero to one,peter thiel,4.4,1481.8928778228144,615,valuable company nobody building next bill gates build operating system next larry page sergey brin wont make search engine copying guys arent learning easier copy model make something new already know takes world 1 10 adding something familiar,4 hours and 50 minutes,",#25 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Business Management,#2 in Entrepreneurship (Audible Audiobooks & Originals),#2 in Organisational Behaviour",25,"business management,entrepreneurship,organisational behaviour",7,4
limitless upgrade your brain learn anything faster and unlock your exceptional life,jim kwik,4.7,2434.0,750,instant new york times best seller number one wall street journal best seller,12 hours and 57 minutes,",#36 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Memory Improvement,#4 in Psychology (Audible Audiobooks & Originals),#14 in Personal Success",36,"memory improvement,personal success,psychology",4,8
the unusual billionaires,saurabh mukherjea,4.4,288.0,1005,makes company truly outstanding,9 hours and 12 minutes,",#20 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Literary Essays,#2 in Biographies of Business Leaders,#8 in Essays (Books)",20,"biographies of business leaders,essays,literary essays",7,0
chanakya neeti,acharya chanakya,4.4,92.0,668,chanakya indian teacher philosopher royal advisor managed first maurya emperor chandragupta ’ rise power young age widely credited played important role establishment maurya empire first empire archaeologically recorded history rule indian subcontinent,5 hours and 2 minutes,",#28 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Biographies & Memoirs (Audible Audiobooks & Originals),#33 in Biographies & Autobiographies (Books)",28,"biographies autobiographies,biographies memoirs",6,9
the rudest book ever insanely practical ideas to free your mind from all bullst,shwetabh gangwar,4.5,2079.0,501,shwetabh gangwar professional problem-solver ’ ace past five years people world contacted troubles ’ worked,4 hours and 51 minutes,",#44 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Self-Esteem,#15 in Personal Success,#158 in Personal Development & Self-Help",44,"personal development selfhelp,personal success,selfesteem",6,4
start with why how great leaders inspire everyone to take action intl edit,simon sinek,4.5,1481.8928778228144,820,people organizations innovative influential profitable others command greater loyalty customers employees alike even among successful able repeat successes,7 hours and 12 minutes,",#53 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Leadership,#3 in Business Motivation & Self-Improvement,#5 in Entrepreneurship (Audible Audiobooks & Originals)",53,"business motivation selfimprovement,entrepreneurship,leadership",7,4
never split the difference negotiating as if your life depended on it,chris voss,4.7,1481.8928778228144,888,brought penguin,8 hours and 7 minutes,",#37 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Meetings & Presentations,#1 in Negotiating,#1 in Forecasting & Strategic Planning",37,"forecasting strategic planning,meetings presentations,negotiating",8,4
hyperfocus,chris bailey,4.5,157.0,323,attention never overwhelmed demand today weve never busy accomplishing little weve grown uncomfortable boredom lack stimulation distraction,6 hours and 39 minutes,",#31 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Time Management,#1 in Memory Improvement,#1 in Time Management & Productivity",31,"memory improvement,time management,time management productivity",9,7
the tatas how a family built a business and a nation,girish kuber,4.4,53.0,668,winner gaja capital business book prize 2019,9 hours and 41 minutes,",#34 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Biographies of Business Leaders,#42 in Biographies & Autobiographies (Books)",34,"biographies autobiographies,biographies of business leaders",4,9
homo deus a brief history of tomorrow,yuval noah harari,4.5,1481.8928778228144,1093,brought penguin,14 hours and 53 minutes,",#47 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Future Studies,#2 in Anthropology (Audible Audiobooks & Originals),#4 in History (Audible Audiobooks & Originals)",47,"anthropology,future studies,history",8,0
meri gita,devdutt pattanaik,4.2,129.0,668,meri gita acclaimed mythologist devdutt pattanaik demystifies bhagavad gita contemporary listener unique approach thematic rather verse-by-verse makes ancient treatise eminently accessible.in world seems spellbound argument dialogue vi-vaad sam-vaad devdutt highlights krishna nudges arjuna understand rather judge relationships becomes relevant today increasingly indulging isolating self self-improvement self-actualization self-realization even selfies forget live ecosystem others nourish food love meaning even fight,7 hours and 39 minutes,",#40 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Eastern Philosophy,#3 in Hinduism (Audible Audiobooks & Originals),#3 in Christianity (Books)",40,"christianity,eastern philosophy,hinduism",5,1
a space of her own personal narratives of twelve women,leela gulati,4.042091434576984,9.0,0,focusing relationships women different generations india book comprised narratives demonstrating contributor established personhood engagement wider kin group,11 hours and 11 minutes,",#4 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Women Biographies,#1 in Women's Studies,#1 in Sociology (Audible Audiobooks & Originals)",1,"sociology,women biographies,womens studies",6,7
no rules rules netflix and the culture of reinvention,reed hastings,4.1,12.0,888,hard work irrelevant radically honest adequate performance gets generous severance never ever try please boss ground rules work netflix part unique cultural experiment explains company transformed lightning speed dvd mail-order service streaming superpower 125 million fervent subscribers market capitalisation bigger disney,9 hours and 42 minutes,",#27 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Workplace Culture,#3 in Entrepreneurship (Audible Audiobooks & Originals),#38 in Analysis & Strategy",27,"analysis strategy,entrepreneurship,workplace culture",7,1
think and grow rich,napoleon hill,4.5,1481.8928778228144,166,completing purchase agree audible ’ conditions use amazons privacy notice applicable audibles recurring payment terms,10 hours and 15 minutes,",#38 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Economics (Audible Audiobooks & Originals),#2 in Business Motivation & Self-Improvement,#10 in Economics Books",38,"business motivation selfimprovement,economics,economics books",1,6
think and grow rich,napoleon hill,4.5,1481.8928778228144,166,completing purchase agree audible ’ conditions use amazons privacy notice applicable audibles recurring payment terms,10 hours and 15 minutes,",#38 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Economics (Audible Audiobooks & Originals),#2 in Business Motivation & Self-Improvement,#10 in Economics Books",38,"business motivation selfimprovement,economics,economics books",1,6
talking to strangers what we should know about the people we dont know,malcolm gladwell,4.5,1481.8928778228144,1093,brought penguin,8 hours and 42 minutes,",#29 in Society & Culture (Books),#45 in Sciences, Technology & Medicine (Books),#164 in Personal Development & Self-Help",29,"personal development selfhelp,sciences,society culture",8,0
the tales of beedle the bard,jk rowling,4.6,1481.8928778228144,652,written j.k. rowling read sally mortemore warwick davis evanna lynch jason isaacs bonnie wright noma dumezweni jude law,1 hour and 35 minutes,",#55 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Action & Adventure Fiction for Teens,#1 in Contemporary Fantasy,#1 in Fairy Tale Collections & Anthologies for Children",55,"action adventure fiction for teens,contemporary fantasy,fairy tale collections anthologies for children",4,4
harry potter and the order of the phoenix book 5,jk rowling,4.7,1481.8928778228144,1002,`` sharing dark lords thoughts emotions headmaster thinks inadvisable continue wishes teach close mind dark lord '',30 hours and 18 minutes,",#75 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Family Life Fiction for Children,#4 in Fiction on Friendship for Children,#4 in Fiction on Orphans & Foster Homes for Children",75,"family life fiction for children,fiction on friendship for children,fiction on orphans foster homes for children",9,4
harry potter and the goblet of fire book 4,jk rowling,4.7,1481.8928778228144,1002,`` three tasks spaced throughout school year test champions many different ways ... magical prowess daring powers deduction course ability cope danger '',22 hours and 17 minutes,",#46 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Family Life Fiction for Children,#2 in Fantasy & Magic for Children,#2 in Fiction on Orphans & Foster Homes for Children",46,"family life fiction for children,fantasy magic for children,fiction on orphans foster homes for children",9,4
harry potter and the halfblood prince book 6,jk rowling,4.7,1481.8928778228144,1002,`` hanging sky school blazing green skull serpent tongue mark death eaters left behind whenever entered building ... wherever murdered .... '',21 hours and 27 minutes,",#78 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Family Life Fiction for Children,#5 in Fiction on Friendship for Children,#5 in Fiction on Orphans & Foster Homes for Children",78,"family life fiction for children,fiction on friendship for children,fiction on orphans foster homes for children",0,4
wings of fire,apj abdul kalam,4.6,70.0,75,“ born divine fire us efforts give wings fire ” president kalam ’ inspiring autobiography touched hearts people world book talks humble beginnings small village tamil nadu ascent one powerful positions country,1 hour and 15 minutes,",#80 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Biographies of Presidents & Heads of State,#90 in Biographies & Autobiographies (Books)",80,"biographies autobiographies,biographies of presidents heads of state",6,7
mans search for meaning,viktor e frankl,4.4,1481.8928778228144,468,internationally renowned psychiatrist viktor e. frankl endured years unspeakable horror nazi death camps partly suffering dr. frankl developed revolutionary approach psychotherapy known logotherapy core theory belief mans primary motivational force search meaning,4 hours and 44 minutes,",#96 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#6 in Philosophy (Audible Audiobooks & Originals),#7 in Holocaust,#1,058 in Textbooks & Study Guides",96,"holocaust,philosophy,textbooks study guides",9,4
learn english word power 101 absolute beginner english 1,innovative language learning,4.042091434576984,231.0,0,master english learn english word power 101. audiobook completely new way learn english vocabulary fast free start speaking english minutes powerful learning methods master book,37 minutes,",#8 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in English Language Learning",1,english language learning,3,7
the lean startup how todays entrepreneurs use continuous innovation to create radically successful businesses,eric ries,4.4,3377.0,1005,startups fail many failures preventable lean startup new approach adopted across globe changing way companies built new products launched,8 hours and 38 minutes,",#116 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Small Businesses,#2 in New Business Enterprises,#7 in Business Management",116,"business management,new business enterprises,small businesses",7,8
the girl on the train,paula hawkins,4.0,1481.8928778228144,888,rachel catches commuter train every morning knows wait signal time overlooking row back gardens shes even started feel like knows people live one houses jess jason calls life sees perfect rachel could happy,10 hours and 57 minutes,",#98 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Psychological Thrillers,#2 in Crime Thrillers,#87 in Crime, Thriller & Mystery (Books)",98,"crime,crime thrillers,psychological thrillers",2,5
range how generalists triumph in a specialized world,david epstein,4.6,1279.0,323,range groundbreaking exhilarating exploration successful 21st century david epstein acclaimed author sports gene,10 hours and 17 minutes,",#105 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Creativity & Genius,#7 in Entrepreneurship (Audible Audiobooks & Originals),#18 in Personal Success in Business",105,"creativity genius,entrepreneurship,personal success in business",3,4
sapiens,yuval noah harari,4.6,329.0,1171,new york times best seller,21 hours and 42 minutes,",#72 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Anthropology (Audible Audiobooks & Originals),#11 in Anthropology (Books)",72,"anthropology,anthropology",4,0
sapiens,yuval noah harari,4.6,329.0,1171,new york times best seller,21 hours and 42 minutes,",#72 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Anthropology (Audible Audiobooks & Originals),#11 in Anthropology (Books)",72,"anthropology,anthropology",4,0
everything is fcked a book about hope,mark manson,4.3,2390.0,1002,author international mega-best-seller subtle art giving f ck comes counterintuitive guide problems hope,7 hours and 2 minutes,",#85 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Satire Fiction,#19 in Humour (Books),#24 in Personal Success",85,"humour,personal success,satire fiction",4,8
the girl in room 105,chetan bhagat,4.3,1481.8928778228144,568,hi im keshav life screwed hate job girlfriend left,8 hours and 23 minutes,",#79 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Psychological Thrillers,#1 in Suspense,#1 in Crime Thrillers",79,"crime thrillers,psychological thrillers,suspense",2,4
eat that frog,brian tracy,4.5,2094.0,351,isnt enough time everything to-do list never successful people dont try everything learn focus important tasks make sure get done eat frogs theres old saying first thing morning eat live frog youll satisfaction knowing youre done worst thing youll day tracy eating frog metaphor tackling challenging task also one greatest positive impact life eat frog shows organize day zero critical tasks accomplish efficiently effectively,2 hours and 37 minutes,",#57 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Time Management & Productivity,#3 in Business Management,#4 in Business Motivation & Self-Improvement",57,"business management,business motivation selfimprovement,time management productivity",9,4
everything is figureoutable how one simple belief can help us overcome any obstacle and create unstoppable success,marie forleo,4.8,1877.0,888,brought penguin,7 hours and 54 minutes,",#82 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Lifestyle & Personal Style Guides (Books),#12 in Personal Success in Business,#23 in Personal Success",82,"lifestyle personal style guides,personal success,personal success in business",8,4
a brief history of time from big bang to black holes,stephen hawking,4.6,1481.8928778228144,888,brought penguin,6 hours and 57 minutes,",#87 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Physics (Audible Audiobooks & Originals),#1 in Cosmology,#1 in Astronomy (Audible Audiobooks & Originals)",87,"astronomy,cosmology,physics",8,4
1984,george orwell,4.5,1481.8928778228144,797,george orwells nightmare vision dystopian world become apt modern chaotic times casting pall oppressive dread first sentence classic audiobook takes hold imagination stays long last four words uttered,12 hours and 19 minutes,",#130 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Dystopian Science Fiction,#1 in Political Fiction,#4 in Literary Fiction",130,"dystopian science fiction,literary fiction,political fiction",3,4
the alchemist hindi edition,paulo coelho,4.4,796.0,668,अंदलुशिया में रहनेवाले एक आम चरवाहे सैंतियागो की ये कहानी स्पेन से होते हुए मिस्र के रेगिस्तान जा पहुँचती है। जादुई रस-विधा यानी ऐल्केमी की तलाश में निकला ये युवा लड़का रास्ते में कई ज्ञानी दार्शनिकों और आध्यात्मिक गुरुओं से मिलता है। ज़िन्दगी बदल देनेवाले इस सफ़र की मंज़िल पर चरवाहे लड़के की मुलाक़ात जिस ऐल्केमिस्ट से होती है वो न सिर्फ़ लड़के की बल्कि हम सब की ज़िन्दगी बदल देने की काबिलियत रखता है।,6 hours and 36 minutes,",#135 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Literary Fiction,#19 in Religious & Spiritual Fiction,#42 in Personal Development",135,"literary fiction,personal development,religious spiritual fiction",6,9
